id,cityDistrict,city,region,country,latitude,longitude
loc-krsko-lower-sava-brezice-lower-sava,NULL,Krško,Lower Sava,Slovenia,45.9592,15.4917
loc-pivka-inner-carniola-karst,NULL,Pivka,Inner Carniola-Karst,Slovenia,45.6829,14.1967
loc-radenci-mura,NULL,Radenci,Mura,Slovenia,46.6420,16.0378
loc-odranci-mura,NULL,Odranci,Mura,Slovenia,46.5867,16.2803
loc-turnisce-mura,NULL,Turnišče,Mura,Slovenia,46.6278,16.3203
loc-prevalje-carinthia,NULL,Prevalje,Carinthia,Slovenia,46.5469,14.9208
loc-piran-coastal-karst-izola-coastal-karst,NULL,Piran,Coastal-Karst,Slovenia,45.5283,13.5683
loc-litija-central-sava,NULL,Litija,Central Sava,Slovenia,46.0586,14.8225
loc-novo-mesto-southeast-slovenia-ljubljana-central-slovenia,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-upper-carniola-medvode-central-slovenia,NULL,Upper Carniola,Medvode,Slovenia,46.2389,14.3556
loc-jesenice-upper-carniola-ljubljana-central-slovenia,NULL,Jesenice,Upper Carniola,Slovenia,46.4367,14.0526
loc-ljubljana-central-slovenia-logatec-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-ljubljana-central-slovenia-domzale-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-komenda-central-slovenia-ljubljana-central-slovenia,NULL,Komenda,Central Slovenia,Slovenia,46.2048,14.5384
loc-menges-central-slovenia-ljubljana-central-slovenia,NULL,Mengeš,Central Slovenia,Slovenia,46.1669,14.5750
loc-velike-lasce-central-slovenia,NULL,Velike Lašče,Central Slovenia,Slovenia,45.8322,14.6364
loc-logatec-central-slovenia-ljubljana-central-slovenia,NULL,Logatec,Central Slovenia,Slovenia,45.9144,14.2258
loc-bohinj-upper-carniola-kranjska-gora-upper-carniola,NULL,Bohinj,Upper Carniola,Slovenia,46.2769,13.9550
loc-zelezniki-upper-carniola,NULL,Železniki,Upper Carniola,Slovenia,46.2247,14.1725
loc-upper-carniola-ljubljana-central-slovenia,NULL,Upper Carniola,Ljubljana,Slovenia,46.2389,14.3556
loc-central-slovenia-upper-carniola,NULL,Central Slovenia,Upper Carniola,Slovenia,46.0569,14.5058
loc-ptuj-drava-slovenska-bistrica-drava,NULL,Ptuj,Drava,Slovenia,46.4199,15.8697
loc-maribor-drava-zalec-savinja,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-celje-savinja-zalec-savinja,NULL,Celje,Savinja,Slovenia,46.2397,15.2677
loc-sentjernej-southeast-slovenia,NULL,Šentjernej,Southeast Slovenia,Slovenia,45.8400,15.3361
loc-mirna-pec-southeast-slovenia,NULL,Mirna Peč,Southeast Slovenia,Slovenia,45.8603,15.0831
loc-kostel-southeast-slovenia,NULL,Kostel,Southeast Slovenia,Slovenia,45.5083,14.9100
loc-central-slovenia-gorizia,NULL,Central Slovenia,Gorizia,Slovenia,46.0569,14.5058
loc-ajdovscina-gorizia-ljubljana-central-slovenia,NULL,Ajdovščina,Gorizia,Slovenia,45.8871,13.9096
loc-kostanjevica-na-krki-lower-sava,NULL,Kostanjevica na Krki,Lower Sava,Slovenia,45.8461,15.4222
loc-radece-lower-sava-central-sava,NULL,Radeče,Lower Sava,Slovenia,46.0681,15.1839
loc-novo-mesto-southeast-slovenia-sevnica-lower-sava,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-novo-mesto-southeast-slovenia-krsko-lower-sava,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-leskovec-zl-nsk-krsko-lower-sava,NULL,Leskovec,Zlínský,Slovenia,45.9390,15.4920
loc-coastal-karst-pivka-inner-carniola-karst,NULL,Coastal-Karst,Pivka,Slovenia,45.5481,13.7302
loc-coastal-karst-postojna-inner-carniola-karst,NULL,Coastal-Karst,Postojna,Slovenia,45.5481,13.7302
loc-coastal-karst-ilirska-bistrica-inner-carniola-karst,NULL,Coastal-Karst,Ilirska Bistrica,Slovenia,45.5481,13.7302
loc-ljubljana-central-slovenia-pivka-inner-carniola-karst,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-logatec-central-slovenia-pivka-inner-carniola-karst,NULL,Logatec,Central Slovenia,Slovenia,45.9144,14.2258
loc-cerknica-inner-carniola-karst-pivka-inner-carniola-karst,NULL,Cerknica,Inner Carniola-Karst,Slovenia,45.7931,14.3625
loc-postojna-inner-carniola-karst-pivka-inner-carniola-karst,NULL,Postojna,Inner Carniola-Karst,Slovenia,45.7744,14.2153
loc-inner-carniola-karst,NULL,Inner Carniola-Karst,NULL,Slovenia,45.7740,14.2140
loc-puconci-mura,NULL,Puconci,Mura,Slovenia,46.7067,16.1572
loc-rogasovci-mura,NULL,Rogašovci,Mura,Slovenia,46.8053,16.0339
loc-mura,NULL,Mura,NULL,Slovenia,46.6625,16.1664
loc-lendava-mura-murska-sobota-mura,NULL,Lendava,Mura,Slovenia,46.5649,16.4509
loc-murska-sobota-mura-celje-savinja,NULL,Murska Sobota,Mura,Slovenia,46.6625,16.1664
loc-kuzma-mura-puconci-mura,NULL,Kuzma,Mura,Slovenia,46.8350,16.0839
loc-moravske-toplice-mura-murska-sobota-mura,NULL,Moravske Toplice,Mura,Slovenia,46.6831,16.2225
loc-mezica-carinthia,NULL,Mežica,Carinthia,Slovenia,46.5214,14.8544
loc-radlje-ob-dravi-carinthia-crna-na-koroskem-carinthia,NULL,Radlje ob Dravi,Carinthia,Slovenia,46.6142,15.2264
loc-carinthia,NULL,Carinthia,NULL,Slovenia,46.5100,14.9700
loc-slovenj-gradec-carinthia-ljubljana-central-slovenia,NULL,Slovenj Gradec,Carinthia,Slovenia,46.5103,15.0806
loc-slovenj-gradec-carinthia-velenje-savinja,NULL,Slovenj Gradec,Carinthia,Slovenia,46.5103,15.0806
loc-ravne-na-koroskem-carinthia-slovenj-gradec-carinthia,NULL,Ravne na Koroškem,Carinthia,Slovenia,46.5431,14.9692
loc-ljubljana-central-slovenia-hrastnik-central-sava,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-hrastnik-central-sava-ljubljana-central-slovenia,NULL,Hrastnik,Central Sava,Slovenia,46.1461,15.0814
loc-ljubljana-central-slovenia-litija-central-sava,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-trbovlje-central-sava-litija-central-sava,NULL,Trbovlje,Central Sava,Slovenia,46.1550,15.0533
loc-savinja-drava,NULL,Savinja,Drava,Slovenia,46.2397,15.2677
loc-dol-pri-ljubljani-central-slovenia,NULL,Dol pri Ljubljani,Central Slovenia,Slovenia,46.0886,14.6422
loc-velike-lasce-central-slovenia-ljubljana-central-slovenia,NULL,Velike Lašče,Central Slovenia,Slovenia,45.8322,14.6364
loc-brezovica-central-slovenia,NULL,Brezovica,Central Slovenia,Slovenia,46.0208,14.4172
loc-vrhnika-central-slovenia-logatec-central-slovenia,NULL,Vrhnika,Central Slovenia,Slovenia,45.9661,14.2978
loc-smartno-pri-litiji-central-slovenia,NULL,Šmartno pri Litiji,Central Slovenia,Slovenia,46.0444,14.8442
loc-celje-savinja-velenje-savinja,NULL,Celje,Savinja,Slovenia,46.2397,15.2677
loc-semic-southeast-slovenia,NULL,Semič,Southeast Slovenia,Slovenia,45.6461,15.1822
loc-ljubljana-central-slovenia-velenje-savinja,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-novo-mesto-southeast-slovenia-straza-southeast-slovenia,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-idrija-gorizia-ljubljana-central-slovenia,NULL,Idrija,Gorizia,Slovenia,46.0028,14.0306
loc-lukovica-central-slovenia-domzale-central-slovenia,NULL,Lukovica,Central Slovenia,Slovenia,46.1692,14.6900
loc-preddvor-upper-carniola,NULL,Preddvor,Upper Carniola,Slovenia,46.3025,14.4231
loc-nova-gorica-gorizia-tolmin-gorizia,NULL,Nova Gorica,Gorizia,Slovenia,45.9560,13.6484
loc-logatec-central-slovenia-ilirska-bistrica-inner-carniola-karst,NULL,Logatec,Central Slovenia,Slovenia,45.9144,14.2258
loc-ljubljana-central-slovenia-postojna-inner-carniola-karst,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-ljubljana-central-slovenia-brezovica-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-bohinj-upper-carniola,NULL,Bohinj,Upper Carniola,Slovenia,46.2769,13.9550
loc-zirovnica-upper-carniola,NULL,Žirovnica,Upper Carniola,Slovenia,46.4047,14.1400
loc-novo-mesto-southeast-slovenia-kocevje-southeast-slovenia,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-vipava-gorizia,NULL,Vipava,Gorizia,Slovenia,45.8467,13.9631
loc-ajdovscina-slovenia,NULL,Ajdovščina,Gorizia,Slovenia,45.8871,13.9096
loc-brezice-slovenia,NULL,Brežice,Lower Sava,Slovenia,45.9041,15.5919
loc-celje-slovenia,NULL,Celje,Savinja,Slovenia,46.2397,15.2677
loc-cerknica-slovenia,NULL,Cerknica,Inner Carniola-Karst,Slovenia,45.7931,14.3625
loc-crnomelj-slovenia,NULL,Črnomelj,Southeast Slovenia,Slovenia,45.5711,15.1889
loc-domzale-slovenia,NULL,Domžale,Central Slovenia,Slovenia,46.1377,14.5937
loc-dravograd-slovenia,NULL,Dravograd,Carinthia,Slovenia,46.5881,15.0192
loc-gornja-radgona-slovenia,NULL,Gornja Radgona,Mura,Slovenia,46.6733,15.9922
loc-grosuplje-slovenia,NULL,Grosuplje,Central Slovenia,Slovenia,45.9556,14.6589
loc-hrastnik-slovenia,NULL,Hrastnik,Central Sava,Slovenia,46.1461,15.0814
loc-idrija-slovenia,NULL,Idrija,Gorizia,Slovenia,46.0028,14.0306
loc-ilirska-bistrica-slovenia,NULL,Ilirska Bistrica,Inner Carniola-Karst,Slovenia,45.5676,14.2457
loc-izola-slovenia,NULL,Izola,Coastal-Karst,Slovenia,45.5369,13.6619
loc-jesenice-slovenia,NULL,Jesenice,Upper Carniola,Slovenia,46.4367,14.0526
loc-kamnik-slovenia,NULL,Kamnik,Central Slovenia,Slovenia,46.2259,14.6121
loc-kocevje-slovenia,NULL,Kočevje,Southeast Slovenia,Slovenia,45.6433,14.8633
loc-koper-slovenia,NULL,Koper,Coastal-Karst,Slovenia,45.5481,13.7302
loc-kranj-slovenia,NULL,Kranj,Upper Carniola,Slovenia,46.2389,14.3556
loc-krsko-slovenia,NULL,Krško,Lower Sava,Slovenia,45.9592,15.4917
loc-lasko-slovenia,NULL,Laško,Savinja,Slovenia,46.1546,15.2356
loc-lenart-slovenia,NULL,Lenart,Drava,Slovenia,46.5761,15.8314
loc-lendava-slovenia,NULL,Lendava,Mura,Slovenia,46.5649,16.4509
loc-litija-slovenia,NULL,Litija,Central Sava,Slovenia,46.0586,14.8225
loc-ljubljana-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-ljutomer-slovenia,NULL,Ljutomer,Mura,Slovenia,46.5208,16.1975
loc-logatec-slovenia,NULL,Logatec,Central Slovenia,Slovenia,45.9144,14.2258
loc-maribor-slovenia,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-metlika-slovenia,NULL,Metlika,Southeast Slovenia,Slovenia,45.6472,15.3142
loc-mozirje-slovenia,NULL,Mozirje,Savinja,Slovenia,46.3394,14.9633
loc-murska-sobota-slovenia,NULL,Murska Sobota,Mura,Slovenia,46.6625,16.1664
loc-nova-gorica-slovenia,NULL,Nova Gorica,Gorizia,Slovenia,45.9560,13.6484
loc-novo-mesto-slovenia,NULL,Novo mesto,Southeast Slovenia,Slovenia,45.8011,15.1710
loc-ormoz-slovenia,NULL,Ormož,Drava,Slovenia,46.4114,16.1544
loc-pesnica-slovenia,NULL,Pesnica,Drava,Slovenia,46.6064,15.6764
loc-piran-slovenia,NULL,Piran,Coastal-Karst,Slovenia,45.5283,13.5683
loc-postojna-slovenia,NULL,Postojna,Inner Carniola-Karst,Slovenia,45.7744,14.2153
loc-ptuj-slovenia,NULL,Ptuj,Drava,Slovenia,46.4199,15.8697
loc-radlje-ob-dravi-slovenia,NULL,Radlje ob Dravi,Carinthia,Slovenia,46.6142,15.2264
loc-radovljica-slovenia,NULL,Radovljica,Upper Carniola,Slovenia,46.3444,14.1744
loc-ravne-na-koroskem-slovenia,NULL,Ravne na Koroškem,Carinthia,Slovenia,46.5431,14.9692
loc-ribnica-slovenia,NULL,Ribnica,Southeast Slovenia,Slovenia,45.7386,14.7275
loc-ruse-slovenia,NULL,Ruše,Drava,Slovenia,46.5394,15.5158
loc-sentjur-pri-celju-slovenia,NULL,Šentjur pri Celju,Savinja,Slovenia,46.2172,15.3975
loc-sevnica-slovenia,NULL,Sevnica,Lower Sava,Slovenia,46.0078,15.3156
loc-sezana-slovenia,NULL,Sežana,Coastal-Karst,Slovenia,45.7092,13.8733
loc-skofja-loka-slovenia,NULL,Škofja Loka,Upper Carniola,Slovenia,46.1672,14.3064
