id,JobId,SkillId
js-000586,job-00321,sk-nursing
js-000587,job-00322,sk-nursing
js-000588,job-00322,sk-slovenian-language
js-000589,job-00323,sk-nursing
js-000590,job-00323,sk-patient-care
js-000591,job-00324,sk-nursing
js-000592,job-00325,sk-nursing
js-000593,job-00326,sk-nursing
js-000594,job-00326,sk-slovenian-language
js-000595,job-00327,sk-nursing
js-000596,job-00327,sk-slovenian-language
js-000597,job-00328,sk-nursing
js-000598,job-00329,sk-nursing
js-000599,job-00329,sk-slovenian-language
js-000600,job-00330,sk-nursing
js-000601,job-00330,sk-slovenian-language
js-000602,job-00331,sk-nursing
js-000603,job-00331,sk-slovenian-language
js-000604,job-00332,sk-nursing
js-000605,job-00332,sk-slovenian-language
js-000606,job-00333,sk-nursing
js-000607,job-00334,sk-nursing
js-000608,job-00334,sk-patient-care
js-000609,job-00335,sk-nursing
js-000610,job-00335,sk-patient-care
js-000611,job-00336,sk-nursing
js-000612,job-00337,sk-nursing
js-000613,job-00337,sk-patient-care
js-000614,job-00338,sk-nursing
js-000615,job-00339,sk-nursing
js-000616,job-00339,sk-patient-care
js-000617,job-00340,sk-nursing
js-000618,job-00341,sk-nursing
js-000619,job-00342,sk-nursing
js-000620,job-00342,sk-patient-care
js-000621,job-00343,sk-nursing
js-000622,job-00344,sk-nursing
js-000623,job-00345,sk-nursing
js-000624,job-00346,sk-nursing
js-000625,job-00346,sk-patient-care
js-000626,job-00347,sk-nursing
js-000627,job-00347,sk-patient-care
js-000628,job-00348,sk-nursing
js-000629,job-00348,sk-patient-care
js-000630,job-00349,sk-nursing
js-000631,job-00350,sk-nursing
js-000632,job-00350,sk-patient-care
js-000633,job-00351,sk-nursing
js-000634,job-00351,sk-patient-care
js-000635,job-00352,sk-nursing
js-000636,job-00352,sk-patient-care
js-000637,job-00353,sk-nursing
js-000638,job-00353,sk-patient-care
js-000639,job-00353,sk-slovenian-language
js-000640,job-00354,sk-nursing
js-000641,job-00354,sk-patient-care
js-000642,job-00355,sk-nursing
js-000643,job-00355,sk-patient-care
js-000644,job-00356,sk-nursing
js-000645,job-00357,sk-nursing
js-000646,job-00358,sk-medicine
js-000647,job-00358,sk-nursing
js-000648,job-00358,sk-patient-care
js-000649,job-00359,sk-nursing
js-000650,job-00360,sk-nursing
js-000651,job-00360,sk-patient-care
js-000652,job-00361,sk-nursing
js-000653,job-00361,sk-patient-care
js-000654,job-00362,sk-nursing
js-000655,job-00363,sk-nursing
js-000656,job-00364,sk-nursing
js-000657,job-00365,sk-nursing
js-000658,job-00366,sk-nursing
js-000659,job-00366,sk-patient-care
js-000660,job-00367,sk-nursing
js-000661,job-00367,sk-patient-care
js-000662,job-00368,sk-medicine
js-000663,job-00368,sk-nursing
js-000664,job-00368,sk-patient-care
js-000665,job-00369,sk-nursing
js-000666,job-00370,sk-nursing
js-000667,job-00370,sk-patient-care
js-000668,job-00371,sk-nursing
js-000669,job-00372,sk-nursing
js-000670,job-00372,sk-patient-care
js-000671,job-00373,sk-nursing
js-000672,job-00373,sk-patient-care
js-000673,job-00374,sk-nursing
js-000674,job-00374,sk-patient-care
js-000675,job-00375,sk-nursing
js-000676,job-00375,sk-patient-care
js-000677,job-00376,sk-nursing
js-000678,job-00376,sk-patient-care
js-000679,job-00377,sk-nursing
js-000680,job-00377,sk-patient-care
js-000681,job-00378,sk-nursing
js-000682,job-00378,sk-patient-care
js-000683,job-00379,sk-nursing
js-000684,job-00379,sk-patient-care
js-000685,job-00380,sk-nursing
js-000686,job-00380,sk-patient-care
js-000687,job-00381,sk-nursing
js-000688,job-00381,sk-patient-care
js-000689,job-00382,sk-nursing
js-000690,job-00382,sk-patient-care
js-000691,job-00383,sk-nursing
js-000692,job-00383,sk-patient-care
js-000693,job-00384,sk-nursing
js-000694,job-00384,sk-patient-care
js-000695,job-00385,sk-nursing
js-000696,job-00386,sk-nursing
js-000697,job-00386,sk-patient-care
js-000698,job-00387,sk-nursing
js-000699,job-00387,sk-patient-care
js-000700,job-00388,sk-teaching
js-000701,job-00389,sk-production-work
js-000702,job-00390,sk-production-work
js-000703,job-00391,sk-production-work
js-000704,job-00392,sk-production-work
js-000705,job-00393,sk-production-work
js-000706,job-00394,sk-english-language
js-000707,job-00394,sk-machine-operation
js-000708,job-00394,sk-production-work
js-000709,job-00395,sk-production-work
js-000710,job-00396,sk-machine-operation
js-000711,job-00396,sk-production-work
js-000712,job-00397,sk-production-work
js-000713,job-00398,sk-production-work
js-000714,job-00399,sk-production-work
js-000715,job-00400,sk-production-work
js-000716,job-00401,sk-machine-operation
js-000717,job-00401,sk-production-work
js-000718,job-00402,sk-production-work
js-000719,job-00403,sk-production-work
js-000720,job-00404,sk-production-work
js-000721,job-00405,sk-machine-operation
js-000722,job-00405,sk-production-work
js-000723,job-00406,sk-production-work
js-000724,job-00407,sk-production-work
js-000725,job-00408,sk-machine-operation
js-000726,job-00408,sk-production-work
js-000727,job-00408,sk-slovenian-language
js-000728,job-00409,sk-production-work
js-000729,job-00410,sk-production-work
js-000730,job-00411,sk-production-work
js-000731,job-00412,sk-machine-operation
js-000732,job-00412,sk-production-work
js-000733,job-00413,sk-production-work
js-000734,job-00414,sk-production-work
js-000735,job-00415,sk-production-work
js-000736,job-00416,sk-production-work
js-000737,job-00417,sk-production-work
js-000738,job-00418,sk-general-work
js-000739,job-00419,sk-production-work
js-000740,job-00420,sk-production-work
js-000741,job-00421,sk-production-work
js-000742,job-00422,sk-production-work
js-000743,job-00423,sk-machine-operation
js-000744,job-00423,sk-production-work
js-000745,job-00424,sk-machine-operation
js-000746,job-00424,sk-production-work
js-000747,job-00425,sk-production-work
js-000748,job-00426,sk-machine-operation
js-000749,job-00426,sk-production-work
js-000750,job-00427,sk-production-work
js-000751,job-00428,sk-production-work
js-000752,job-00429,sk-production-work
js-000753,job-00430,sk-production-work
js-000754,job-00430,sk-slovenian-language
js-000755,job-00431,sk-production-work
js-000756,job-00432,sk-production-work
js-000757,job-00433,sk-production-work
js-000758,job-00434,sk-production-work
js-000759,job-00435,sk-production-work
js-000760,job-00436,sk-production-work
js-000761,job-00437,sk-production-work
js-000762,job-00438,sk-production-work
js-000763,job-00439,sk-production-work
js-000764,job-00440,sk-production-work
js-000765,job-00441,sk-production-work
js-000766,job-00442,sk-production-work
js-000767,job-00443,sk-production-work
js-000768,job-00444,sk-production-work
js-000769,job-00445,sk-production-work
js-000770,job-00446,sk-production-work
js-000771,job-00447,sk-general-work
js-000772,job-00448,sk-general-work
js-000773,job-00449,sk-technical-maintenance
js-000774,job-00450,sk-production-work
js-000775,job-00451,sk-production-work
js-000776,job-00452,sk-machine-operation
js-000777,job-00452,sk-production-work
js-000778,job-00453,sk-production-work
js-000779,job-00454,sk-production-work
js-000780,job-00455,sk-production-work
js-000781,job-00456,sk-production-work
js-000782,job-00457,sk-production-work
js-000783,job-00458,sk-production-work
js-000784,job-00459,sk-pharmacy
